Gorilla_GON_ACC.bam.out	Gorilla_Sakura_ACC.bam.out	Gorilla_GON_CB.bam.out	Gorilla_Sakura_CB.bam.out	Gorilla_GON_DPFC.bam.out	Gorilla_Sakura_DPFC.bam.out	Gorilla_GON_HIP.bam.out	Gorilla_Sakura_HIP.bam.out	Gorilla_GON_PMC.bam.out	Gorilla_Sakura_PMC.bam.out	Gorilla_GON_STR.bam.out	Gorilla_Sakura_STR.bam.out	Gorilla_GON_V1C.bam.out	Gorilla_Sakura_V1C.bam.out	Gorilla_GON_VPFC.bam.out	Gorilla_Sakura_VPFC.bam.out	Normalize_type
TCONS_00002241	2.763869155	0	19.98599094	0	7.692491634	0	5.744726307	0	4.489199011	0	1.85853052	0	14.13950393	0	4.615791306	0	Counts
TCONS_00002269	0	0	2.398318913	0	0.769249163	0	1.436181577	0	0	0	0	0	0.642704724	0	0.512865701	0	Counts
TCONS_00002270	0	0	15.98879275	0.723072878	0	0	2.872363153	0	0	0	0	0	0.642704724	0	0.512865701	0	Counts
TCONS_00002279	45.1431962	28.18413582	131.9075402	187.2758754	43.07795315	55.10460249	21.54272365	21.2495422	48.09856083	29.21056663	32.21452901	9.663839131	35.99146454	33.24151205	57.95382418	41.20902876	Counts
TCONS_00002305	2.763869155	10.24877666	16.38851257	8.676874534	5.384744144	14.89313581	6.462817095	3.035648886	7.695769733	1.390979363	5.57559156	1.380548447	5.141637792	3.021955641	0.512865701	8.830506163	Counts
TCONS_00002317	1.842579437	0	0	0	2.30774749	0	1.436181577	0	0	0	0.619510173	0	3.21352362	0	0.512865701	0	Counts
TCONS_00002343	41.45803733	0	53.96217553	5.784583023	38.46245817	0	50.98444597	0	28.21782235	0	52.65836473	5.522193789	43.70392123	6.043911282	60.51815268	0	Counts
TCONS_00002347	4.606448592	0	2.798038731	0	3.076996654	0	4.30854473	0	1.282628289	0	4.956081387	0	3.856228344	0	2.051462803	0	Counts
TCONS_00002351	0	0	1.598879275	0	1.538498327	0	0	0	0	0	3.71706104	0	1.928114172	0	0.512865701	0	Counts
TCONS_00002354	3.685158874	0	24.38290894	0	5.384744144	0	8.61708946	0	6.413141444	0	13.00971364	0	11.56868503	0	7.692985511	0	Counts
TCONS_00002355	100.4205793	5.124388331	126.7111826	5.784583023	72.30942136	0	68.21862489	0	71.18587003	0	126.3800754	4.141645342	96.40570859	0	131.2936194	0	Counts
TCONS_00002363	7.370317747	0	5.196357644	0	3.846245817	0	7.898998672	0	4.489199011	0	19.20481537	0	13.4967992	0	11.28304542	0	Counts
TCONS_00002389	33.16642986	1.281097083	49.56525753	5.061510145	57.69368726	5.957254324	26.56935917	3.035648886	35.27227794	5.563917454	41.50718161	0	47.56014957	0	60.00528698	4.415253081	Counts
TCONS_00002396	9.212897184	1.281097083	1.598879275	0.723072878	1.538498327	0	3.590453942	0	10.26102631	1.390979363	4.336571213	0	5.141637792	3.021955641	7.692985511	0	Counts
TCONS_00002430	0	0	7.194956738	0	0.769249163	0	0.718090788	0	1.282628289	0	0	0	3.856228344	0	4.102925606	0	Counts
TCONS_00002446	0.921289718	0	0.399719819	0	1.538498327	0	0.718090788	0	0	0	1.239020347	0	0.642704724	3.021955641	0.512865701	0	Counts
TCONS_00002447	4.606448592	6.405485414	2.798038731	7.230728779	0.769249163	2.978627162	5.026635518	15.17824443	1.923942433	12.51881427	5.57559156	28.99151739	5.141637792	18.13173385	6.154388409	5.887004109	Counts
TCONS_00002461	7.370317747	2.562194166	74.74760611	0	7.692491634	0	12.92563419	0	3.847884866	0	2.478040693	0	15.42491337	0	8.205851211	0	Counts
TCONS_00002466	0.921289718	0	26.78122786	31.09213375	3.076996654	1.489313581	6.462817095	1.517824443	0	0	3.097550867	1.380548447	3.856228344	3.021955641	2.564328504	0	Counts
TCONS_00002506	1.842579437	0	3.19775855	0	3.076996654	0	3.590453942	3.035648886	2.565256578	5.563917454	3.71706104	2.761096895	4.498933068	0	5.641522708	0	Counts
TCONS_00002512	11.05547662	0	3.19775855	0	3.846245817	1.489313581	4.30854473	6.071297771	2.565256578	0	4.336571213	0	9.640570859	0	7.18011981	0	Counts
TCONS_00002519	20.2683738	0	38.77282242	1.446145756	20.00047825	0	15.79799734	0	37.83753452	0	12.39020347	1.380548447	23.13737006	0	18.97603093	0	Counts
TCONS_00002538	18.42579437	5.124388331	43.96918006	0.723072878	13.07723578	5.957254324	15.79799734	0	12.82628289	5.563917454	46.463263	8.283290684	12.85409448	15.1097782	10.25731401	0	Counts
TCONS_00002560	1.842579437	0	0	0	1.538498327	0	0.718090788	0	1.282628289	1.390979363	4.336571213	0	0	0	0.512865701	0	Counts
TCONS_00002650	0.921289718	0	0.399719819	0	0.769249163	0	0.718090788	0	1.282628289	0	1.239020347	0	1.928114172	0	1.538597102	0	Counts
TCONS_00002671	0.921289718	0	1.998599094	0.723072878	2.30774749	0	0.718090788	0	0	0	1.239020347	0	1.285409448	0	0.512865701	0	Counts
TCONS_00002689	91.20768212	0	269.4111579	1.446145756	110.7718795	0	95.50607485	0	106.458148	0	127.6190957	0	136.8961062	0	129.7550223	0	Counts
