LncRNAs	LncRNA1_id	Region	Organism
TCONS_00015702	pan_TCONS_00015702	ACC vs CB	Chimp
TCONS_00015752	pan_TCONS_00015752	ACC vs CB	Chimp
TCONS_00015844	pan_TCONS_00015844	ACC vs CB	Chimp
TCONS_00015951	pan_TCONS_00015951	ACC vs CB	Chimp
TCONS_00016000	pan_TCONS_00016000	ACC vs CB	Chimp
TCONS_00016069	pan_TCONS_00016069	ACC vs CB	Chimp
TCONS_00016085	pan_TCONS_00016085	ACC vs CB	Chimp
TCONS_00016088	pan_TCONS_00016088	ACC vs CB	Chimp
TCONS_00016131	pan_TCONS_00016131	ACC vs CB	Chimp
TCONS_00016156	pan_TCONS_00016156	ACC vs CB	Chimp
TCONS_00016160	pan_TCONS_00016160	ACC vs CB	Chimp
TCONS_00016180	pan_TCONS_00016180	ACC vs CB	Chimp
TCONS_00016206	pan_TCONS_00016206	ACC vs CB	Chimp
TCONS_00016240	pan_TCONS_00016240	ACC vs CB	Chimp
TCONS_00016291	pan_TCONS_00016291	ACC vs CB	Chimp
TCONS_00016340	pan_TCONS_00016340	ACC vs CB	Chimp
TCONS_00016423	pan_TCONS_00016423	ACC vs CB	Chimp
TCONS_00016444	pan_TCONS_00016444	ACC vs CB	Chimp
TCONS_00016494	pan_TCONS_00016494	ACC vs CB	Chimp
TCONS_00016500	pan_TCONS_00016500	ACC vs CB	Chimp
TCONS_00016595	pan_TCONS_00016595	ACC vs CB	Chimp
TCONS_00016611	pan_TCONS_00016611	ACC vs CB	Chimp
TCONS_00016667	pan_TCONS_00016667	ACC vs CB	Chimp
TCONS_00016804	pan_TCONS_00016804	ACC vs CB	Chimp
TCONS_00016852	pan_TCONS_00016852	ACC vs CB	Chimp
TCONS_00016925	pan_TCONS_00016925	ACC vs CB	Chimp
TCONS_00016954	pan_TCONS_00016954	ACC vs CB	Chimp
TCONS_00016987	pan_TCONS_00016987	ACC vs CB	Chimp
TCONS_00017234	pan_TCONS_00017234	ACC vs CB	Chimp
TCONS_00017548	pan_TCONS_00017548	ACC vs CB	Chimp
TCONS_00017571	pan_TCONS_00017571	ACC vs CB	Chimp
TCONS_00017634	pan_TCONS_00017634	ACC vs CB	Chimp
TCONS_00017668	pan_TCONS_00017668	ACC vs CB	Chimp
TCONS_00017680	pan_TCONS_00017680	ACC vs CB	Chimp
TCONS_00017761	pan_TCONS_00017761	ACC vs CB	Chimp
TCONS_00017978	pan_TCONS_00017978	ACC vs CB	Chimp
TCONS_00018024	pan_TCONS_00018024	ACC vs CB	Chimp
TCONS_00018122	pan_TCONS_00018122	ACC vs CB	Chimp
TCONS_00018126	pan_TCONS_00018126	ACC vs CB	Chimp
TCONS_00018242	pan_TCONS_00018242	ACC vs CB	Chimp
TCONS_00018363	pan_TCONS_00018363	ACC vs CB	Chimp
TCONS_00018426	pan_TCONS_00018426	ACC vs CB	Chimp
TCONS_00018712	pan_TCONS_00018712	ACC vs CB	Chimp
TCONS_00018765	pan_TCONS_00018765	ACC vs CB	Chimp
TCONS_00018767	pan_TCONS_00018767	ACC vs CB	Chimp
TCONS_00018816	pan_TCONS_00018816	ACC vs CB	Chimp
TCONS_00018865	pan_TCONS_00018865	ACC vs CB	Chimp
TCONS_00018940	pan_TCONS_00018940	ACC vs CB	Chimp
TCONS_00018969	pan_TCONS_00018969	ACC vs CB	Chimp
TCONS_00019069	pan_TCONS_00019069	ACC vs CB	Chimp
TCONS_00019152	pan_TCONS_00019152	ACC vs CB	Chimp
TCONS_00019153	pan_TCONS_00019153	ACC vs CB	Chimp
TCONS_00019202	pan_TCONS_00019202	ACC vs CB	Chimp
TCONS_00019232	pan_TCONS_00019232	ACC vs CB	Chimp
TCONS_00019243	pan_TCONS_00019243	ACC vs CB	Chimp
TCONS_00019420	pan_TCONS_00019420	ACC vs CB	Chimp
TCONS_00019430	pan_TCONS_00019430	ACC vs CB	Chimp
TCONS_00019542	pan_TCONS_00019542	ACC vs CB	Chimp
TCONS_00019571	pan_TCONS_00019571	ACC vs CB	Chimp
TCONS_00019691	pan_TCONS_00019691	ACC vs CB	Chimp
TCONS_00019701	pan_TCONS_00019701	ACC vs CB	Chimp
TCONS_00019712	pan_TCONS_00019712	ACC vs CB	Chimp
TCONS_00019815	pan_TCONS_00019815	ACC vs CB	Chimp
TCONS_00019972	pan_TCONS_00019972	ACC vs CB	Chimp
TCONS_00020024	pan_TCONS_00020024	ACC vs CB	Chimp
TCONS_00020147	pan_TCONS_00020147	ACC vs CB	Chimp
TCONS_00020157	pan_TCONS_00020157	ACC vs CB	Chimp
TCONS_00020284	pan_TCONS_00020284	ACC vs CB	Chimp
TCONS_00020522	pan_TCONS_00020522	ACC vs CB	Chimp
TCONS_00020623	pan_TCONS_00020623	ACC vs CB	Chimp
TCONS_00020660	pan_TCONS_00020660	ACC vs CB	Chimp
TCONS_00021050	pan_TCONS_00021050	ACC vs CB	Chimp
TCONS_00021055	pan_TCONS_00021055	ACC vs CB	Chimp
TCONS_00021092	pan_TCONS_00021092	ACC vs CB	Chimp
TCONS_00021149	pan_TCONS_00021149	ACC vs CB	Chimp
TCONS_00021200	pan_TCONS_00021200	ACC vs CB	Chimp
TCONS_00021280	pan_TCONS_00021280	ACC vs CB	Chimp
TCONS_00021297	pan_TCONS_00021297	ACC vs CB	Chimp
TCONS_00021327	pan_TCONS_00021327	ACC vs CB	Chimp
TCONS_00021359	pan_TCONS_00021359	ACC vs CB	Chimp
TCONS_00021367	pan_TCONS_00021367	ACC vs CB	Chimp
TCONS_00021473	pan_TCONS_00021473	ACC vs CB	Chimp
TCONS_00021496	pan_TCONS_00021496	ACC vs CB	Chimp
TCONS_00021555	pan_TCONS_00021555	ACC vs CB	Chimp
TCONS_00021778	pan_TCONS_00021778	ACC vs CB	Chimp
TCONS_00021991	pan_TCONS_00021991	ACC vs CB	Chimp
TCONS_00021992	pan_TCONS_00021992	ACC vs CB	Chimp
TCONS_00022069	pan_TCONS_00022069	ACC vs CB	Chimp
TCONS_00022075	pan_TCONS_00022075	ACC vs CB	Chimp
TCONS_00022076	pan_TCONS_00022076	ACC vs CB	Chimp
TCONS_00022102	pan_TCONS_00022102	ACC vs CB	Chimp
TCONS_00022168	pan_TCONS_00022168	ACC vs CB	Chimp
TCONS_00022185	pan_TCONS_00022185	ACC vs CB	Chimp
TCONS_00022302	pan_TCONS_00022302	ACC vs CB	Chimp
TCONS_00022304	pan_TCONS_00022304	ACC vs CB	Chimp
TCONS_00022432	pan_TCONS_00022432	ACC vs CB	Chimp
TCONS_00022445	pan_TCONS_00022445	ACC vs CB	Chimp
TCONS_00022500	pan_TCONS_00022500	ACC vs CB	Chimp
TCONS_00022533	pan_TCONS_00022533	ACC vs CB	Chimp
TCONS_00022536	pan_TCONS_00022536	ACC vs CB	Chimp
TCONS_00022595	pan_TCONS_00022595	ACC vs CB	Chimp
TCONS_00022672	pan_TCONS_00022672	ACC vs CB	Chimp
TCONS_00022736	pan_TCONS_00022736	ACC vs CB	Chimp
TCONS_00022767	pan_TCONS_00022767	ACC vs CB	Chimp
TCONS_00022778	pan_TCONS_00022778	ACC vs CB	Chimp
TCONS_00022865	pan_TCONS_00022865	ACC vs CB	Chimp
TCONS_00022897	pan_TCONS_00022897	ACC vs CB	Chimp
TCONS_00022901	pan_TCONS_00022901	ACC vs CB	Chimp
TCONS_00022935	pan_TCONS_00022935	ACC vs CB	Chimp
TCONS_00022936	pan_TCONS_00022936	ACC vs CB	Chimp
TCONS_00022941	pan_TCONS_00022941	ACC vs CB	Chimp
TCONS_00023169	pan_TCONS_00023169	ACC vs CB	Chimp
TCONS_00023219	pan_TCONS_00023219	ACC vs CB	Chimp
TCONS_00023222	pan_TCONS_00023222	ACC vs CB	Chimp
TCONS_00023238	pan_TCONS_00023238	ACC vs CB	Chimp
TCONS_00023333	pan_TCONS_00023333	ACC vs CB	Chimp
TCONS_00023336	pan_TCONS_00023336	ACC vs CB	Chimp
TCONS_00023349	pan_TCONS_00023349	ACC vs CB	Chimp
TCONS_00023390	pan_TCONS_00023390	ACC vs CB	Chimp
TCONS_00023433	pan_TCONS_00023433	ACC vs CB	Chimp
TCONS_00023451	pan_TCONS_00023451	ACC vs CB	Chimp
TCONS_00023452	pan_TCONS_00023452	ACC vs CB	Chimp
TCONS_00023482	pan_TCONS_00023482	ACC vs CB	Chimp
TCONS_00023535	pan_TCONS_00023535	ACC vs CB	Chimp
